Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
ABBV,AbbVie Inc.,Health Care,United States,NYSE,270102.78,152.85,15.03,15.47,37.00,149.13,166.72,,35.49,21.64,,152.70,146.28,137.79,133.22,130.14,20.92,22.44,0.49,3.55,22.69,29.97,19.72,16.99,15.94,12.41,24.40,17.08,17.88,15.21,19.84,12.52,22.48,22.70,15.81,14.40,13.97,11.71,150.04,21.01,26.61,14.16,30.67,12.89,,,,,,,-9.72,48.00,27.02,18.55,49.25,41.33
ABC,AmerisourceBergen Corporation,Health Care,United States,NYSE,29859.10,142.55,7.95,7.76,26.27,70.36,65.22,331.21,19.39,10.54,15.71,150.42,143.98,138.45,134.87,131.99,22.19,24.52,-0.32,1.28,12.69,9.16,8.41,7.82,8.67,10.52,29.37,15.29,17.45,9.71,12.29,8.30,30.57,14.82,13.97,10.36,12.57,10.73,-145.18,34.18,-2.44,1.52,27.95,8.10,,,,,,,46.32,51.58,28.17,15.54,37.35,72.26
ABEV,Ambev S.A.,Consumer Staples,Brazil,NYSE,42767.80,2.68,-4.29,3.47,-16.45,-41.08,-44.31,,-16.14,-11.03,,2.84,2.81,2.83,2.90,2.99,33.32,34.70,-0.01,3.55,24.80,18.36,13.19,9.82,9.71,,6.21,2.88,0.25,1.83,1.30,148.95,18.78,10.75,6.28,5.16,5.68,,11.35,3.71,4.84,0.20,0.70,78.46,,,,,,,20.34,25.70,25.05,28.32,16.30,44.40
ABG,Asbury Automotive Group Inc.,Consumer Discretionary,United States,NYSE,3789.76,171.24,-0.86,-2.24,-3.50,106.39,208.82,563.98,27.26,25.25,20.81,176.57,173.20,178.05,180.18,181.17,46.94,53.88,-12.10,,37.94,16.81,12.69,8.55,7.66,9.04,94.76,53.76,35.97,21.09,16.58,18.20,55.48,27.57,19.92,12.43,10.14,10.51,109.28,69.92,46.88,26.07,25.01,22.87,,,,,,,1721.61,114.95,87.53,70.65,26.22,18.45
ABM,ABM Industries Incorporated,Industrials,United States,NYSE,2880.57,43.13,7.02,1.47,3.11,12.37,15.64,177.81,3.96,2.94,10.74,45.59,44.52,44.92,45.31,45.81,35.34,39.43,1.91,1.80,4.02,-2.10,-1.12,3.90,4.26,3.90,29.74,27.69,23.36,26.31,17.65,11.30,13.78,18.25,13.74,13.56,11.10,8.18,42000.00,-0.43,8.90,17.17,7.61,6.31,,,,,,,154.26,32.99,12.38,89.63,86.32,28.67
ABR,Arbor Realty Trust Inc.,Real Estate,United States,NYSE,2441.37,13.83,-21.15,-22.91,-14.08,46.19,169.68,513.01,13.47,21.91,19.85,16.37,16.85,17.41,17.54,17.62,25.88,28.98,-20.34,10.56,55.07,33.38,23.90,31.00,32.27,60.59,,,,,,,59.04,38.38,27.01,34.39,40.85,39.75,98.48,62.41,43.07,46.46,20.30,23.74,,,,,,,53.22,33.76,36.69,34.50,21.67,26.26
ABT,Abbott Laboratories,Health Care,United States,NYSE,191307.95,109.26,-21.78,-18.79,-6.99,34.48,145.20,328.72,10.36,19.61,15.65,115.30,120.85,121.59,121.98,120.79,23.09,27.68,2.14,1.68,24.47,16.20,12.10,15.61,11.39,7.24,62.72,39.20,33.92,23.43,18.03,18.59,26.61,15.73,11.83,16.27,12.37,8.14,57.31,38.49,44.00,38.25,17.52,4.11,,,,,,,-97.08,-86.44,-75.68,-54.18,-38.86,-18.22
AC,Associated Capital Group Inc.,Financials,United States,NYSE,831.05,37.70,-12.08,-10.92,0.87,-0.29,14.58,,-0.10,2.75,,38.81,40.05,39.66,39.13,38.85,36.91,39.30,0.45,0.53,10.22,-2.93,-2.79,-7.70,-0.07,,65.02,24.57,15.14,10.96,10.98,,679.91,48.37,-2.64,68.64,15.75,,214.64,22.91,0.63,42.10,53.12,,,,,,,,4.26,2.25,2.67,1.41,7.05,
ACA,Arcosa Inc.,Industrials,United States,NYSE,2198.13,45.49,-13.52,-11.26,-16.42,23.51,,,7.28,,,52.66,51.92,52.23,52.06,53.46,33.17,33.91,0.89,0.44,5.21,8.28,11.72,3.63,,,-27.07,-11.59,0.51,-9.80,,,-4.14,4.96,10.42,1.02,,,-34.71,-21.62,-2.76,-10.76,,,,,,,,,-9.85,-15.46,-9.29,-1.77,,
ACAQ,Athena Consumer Acquisition Corp.,Financials,United States,NYSE,321.42,10.01,1.03,0.91,,,,,,,,,,,,,3.79,3.24,-126.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,American Campus Communities Inc.,Real Estate,United States,NYSE,9077.90,64.91,14.32,18.16,38.11,51.35,73.44,109.68,14.78,11.62,7.67,60.28,58.19,56.66,55.29,53.98,22.73,24.60,-0.58,2.17,8.25,-0.03,2.28,3.69,3.64,10.06,15.20,-9.58,-1.81,-1.97,0.34,6.18,9.15,-2.04,1.31,3.87,4.19,10.59,-51.25,-35.37,-32.83,-18.56,-7.84,-4.57,,,,,,,0.23,-2.64,-3.41,-1.85,2.63,8.42
ACCO,ACCO Brands Corporation,Industrials,United States,NYSE,635.26,6.55,-19.16,-19.55,-16.55,-7.21,-37.17,-26.58,-2.46,-8.86,-3.04,7.62,7.81,8.06,8.22,8.34,32.83,30.89,-0.68,4.43,22.36,1.76,1.42,5.40,2.63,4.39,42.77,-6.03,-3.04,0.44,0.82,4.29,25.49,-1.31,-0.53,3.71,2.22,4.47,64.35,-2.32,-1.52,1.31,1.53,6.04,,,,,,,-20.89,9.27,5.95,13.59,9.84,9.88
ACDI,Ascendant Digital Acquisition Corp. III,Financials,United States,NYSE,376.13,10.03,1.83,1.31,,,,,,,,,,,,,3.37,3.34,-95.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEL,Accel Entertainment Inc.,Consumer Discretionary,United States,NYSE,1013.60,10.95,-15.90,-14.12,1.30,,,,,,,11.81,12.14,12.23,12.06,12.13,38.41,40.08,2.10,,132.24,30.91,29.91,33.49,,,-450.18,87.78,42.56,41.13,,,128.63,28.09,26.95,30.54,,,-7797.32,-7.35,42.95,45.11,,,,,,,,,-46.14,-54.44,-13.15,,,
ACHR,Archer Aviation Inc.,Industrials,United States,NYSE,804.70,3.33,-44.87,-28.23,-66.40,,,,,,,3.85,4.22,4.90,5.89,6.57,85.25,104.42,-0.09,,,,,,,,1312.20,1874.59,,,,,,,,,,,1302.42,1819.46,,,,,,,,,,,1872.88,2580.52,,,,
ACI,Albertsons Companies Inc.,Consumer Staples,United States,NYSE,14315.71,26.93,-10.09,-13.02,39.67,,,,,,,31.19,30.80,31.03,30.14,28.37,48.23,44.79,0.21,1.71,3.15,7.29,5.90,3.79,14.89,,41.64,58.13,43.06,22.59,64.62,,1.64,8.33,6.85,4.27,15.42,,90.50,86.35,131.17,34.11,4.07,,,,,,,,-76.55,-31.81,-43.57,-32.51,,
ACII,Atlas Crest Investment Corp. II,Financials,United States,NYSE,423.06,9.81,0.82,0.62,0.62,,,,,,,9.79,9.77,9.77,9.76,9.76,3.11,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,AECOM,Industrials,United States,NYSE,9183.02,65.11,-15.30,-12.22,5.72,77.31,100.66,289.74,20.99,14.92,14.55,71.23,71.78,70.80,69.36,68.55,29.77,31.71,6.12,0.69,0.76,-1.11,-1.31,-5.19,6.91,5.20,25.57,18.87,23.53,4.17,10.48,5.58,12.52,14.25,18.56,4.43,10.25,5.51,-192.93,-18.55,8.27,12.50,-3.96,-4.55,,,,,,,214.58,172.09,-26.73,-22.05,26.96,20.20
ACP,Abrdn Income Credit Strategies Fund,,,NYSE,179.35,7.68,-19.51,-20.68,-22.10,-6.55,2.18,46.70,-2.23,0.43,3.90,9.08,9.46,9.89,10.18,10.41,16.55,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACR,ACRES Commercial Realty Corp.,Real Estate,United States,NYSE,74.08,8.45,-32.24,-31.80,-47.42,-74.11,-67.12,-72.26,-36.21,-19.91,-12.02,11.16,11.62,12.57,13.37,13.85,32.05,36.70,17.23,,266.09,8.06,7.84,9.69,-2.07,-1.39,,,,,,,216.53,-0.29,2.21,6.22,-3.36,-2.64,-117.16,-2.88,7.34,2.24,-8.08,-1.05,,,,,,,34.20,-10.64,-7.08,-8.80,-9.96,0.81
ACRE,Ares Commercial Real Estate Corporation,Real Estate,United States,NYSE,682.29,12.54,-9.31,-10.60,-4.33,15.99,57.64,79.10,5.06,9.51,5.99,14.52,14.54,14.79,14.87,14.94,27.23,32.84,-15.65,11.16,65.00,13.99,22.00,17.35,15.09,98.07,,,,,,,65.00,13.99,22.00,17.35,15.09,98.07,176.83,27.85,16.14,8.43,13.84,61.89,,,,,,,43.47,26.16,16.83,10.12,7.96,59.33
ACRO,Acropolis Infrastructure Acquisition Corp.,Financials,United States,NYSE,417.02,9.67,-0.51,-0.51,,,,,,,,9.69,9.70,,,,4.86,4.27,-81.08,,,,,,,,100052.33,,,,,,,,,,,,95262.29,,,,,,,,,,,,-51685.57,,,,,
ACV,Virtus Diversified Income & Convertible Fund,,,NYSE,214.12,20.68,-32.45,-32.97,-23.82,32.72,76.68,,9.88,12.04,,22.98,25.71,28.18,29.57,30.21,32.82,41.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,Agree Realty Corporation,Real Estate,United States,NYSE,5524.98,73.35,4.92,8.23,6.45,25.61,91.90,415.43,7.88,13.90,17.79,67.89,67.67,68.06,69.18,69.43,20.48,23.18,-13.38,3.70,36.51,34.53,35.26,29.96,30.18,27.34,36.99,31.31,32.97,27.94,28.32,27.23,37.56,34.87,35.42,29.17,29.57,27.25,33.81,23.57,28.10,22.07,30.98,29.04,,,,,,,28.45,38.55,37.92,36.55,37.24,36.60
ADCT,ADC Therapeutics SA,Health Care,Switzerland,NYSE,791.92,10.31,-48.96,-47.93,-57.33,,,,,,,11.18,13.66,16.79,18.52,19.23,67.24,80.21,0.17,,,280.72,209.86,,,,19.48,48.05,27.69,,,,-11.52,9.21,2.38,,,,-6.60,40.53,23.17,,,,,,,,,,-52.93,22.10,8.60,,,
ADEX,Adit EdTech Acquisition Corp.,Financials,United States,NYSE,338.79,9.82,-0.81,-0.41,1.55,,,,,,,9.87,9.87,9.84,9.80,9.79,3.91,2.36,,,,,,,,,,,,,,,,,,,,,125031.18,,,,,,,,,,,,-70255.26,,,,,
ADM,Archer-Daniels-Midland Company,Consumer Staples,United States,NYSE,41268.99,73.34,9.59,6.10,26.71,90.77,105.95,239.56,23.97,15.52,12.98,85.18,79.87,75.86,72.67,71.34,27.56,33.74,0.04,2.10,32.47,14.83,9.83,6.46,0.70,,62.68,36.06,15.15,12.20,0.51,,34.45,20.15,12.71,10.60,3.31,,52.88,40.16,14.39,16.20,2.70,,,,,,,,9.12,7.03,1.73,3.15,-0.40,
ADNT,Adient plc,Consumer Discretionary,Ireland,NYSE,2848.13,30.04,-37.26,-37.78,-27.49,30.44,-54.27,,9.24,-14.46,,35.56,39.03,40.25,40.05,41.18,61.63,72.30,,,7.97,-9.02,-7.77,-4.01,-6.59,,-9280.00,113.18,18.05,-8.74,-4.74,,71.40,9.08,0.11,-9.95,-9.74,,-302.56,50.22,-13.04,-6.45,20.12,,,,,,,,-69.62,-25.63,16.08,-26.98,-25.09,
ADT,ADT Inc.,Consumer Discretionary,United States,NYSE,6027.01,6.65,-20.12,-14.85,-34.52,20.94,,,6.53,,,7.13,7.41,7.69,7.99,8.40,43.09,43.12,0.04,2.11,-0.14,1.75,5.02,12.46,41.53,,-64.94,-61.02,-47.27,-20.22,0.16,,-1.09,0.29,2.00,10.74,45.94,,-46.09,-10.36,-17.60,-8.68,51.64,,,,,,,,0.05,-2.02,-0.96,-3.15,,
ADX,Adams Diversified Equity Fund Inc.,,,NYSE,1862.38,15.80,-18.13,-16.63,-7.78,36.48,86.40,265.28,10.90,13.24,13.81,16.97,17.58,18.32,18.72,18.83,20.38,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,Ameren Corporation,Utilities,United States,NYSE,22659.38,87.75,-0.13,0.74,9.71,24.04,85.61,268.90,7.43,13.14,13.92,90.77,89.63,88.15,87.76,87.08,18.30,19.91,-0.76,2.60,10.45,4.10,0.61,1.02,0.67,0.27,3.74,4.04,0.97,1.29,2.29,2.24,4.65,4.42,2.28,2.57,2.79,2.87,13.66,9.35,6.70,8.68,7.78,6.67,,,,,,,8.94,10.21,8.76,6.78,5.70,2.16
AEFC,Aegon Funding Company LLC,Financials,United States,NYSE,,21.93,,,,,,,,,,,,,,,,,,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEL,American Equity Investment Life Holding Company,Financials,United States,NYSE,3405.17,36.59,-5.99,-11.21,21.50,38.72,41.59,258.89,11.51,7.19,13.61,38.34,38.79,37.38,36.20,35.42,36.49,40.18,0.72,0.93,52.04,3.15,33.63,10.69,7.76,11.46,-25.37,32.69,1.51,30.59,13.26,13.50,-304.31,-48.64,-7.43,-8.69,4.72,13.92,-29.41,38.78,1.15,41.61,20.83,18.58,,,,,,,-0.41,17.63,38.13,22.51,16.74,16.20
AENZ,Aenza S.A.A.,Industrials,Peru,NYSE,281.89,1.18,-27.19,-34.83,-30.62,-61.83,-62.07,,-27.42,-17.60,,1.61,1.65,1.69,1.68,1.66,61.54,63.67,,,25.43,-4.62,0.40,-8.61,-7.88,-0.72,1685.47,42.64,-12.64,6.83,-8.78,-4.44,59.89,2.00,-16.16,-6.69,-11.65,-4.45,-29.68,-58.39,22.58,-21.37,-9.14,-6.15,,,,,,,-4.04,-14.45,-28.36,-14.86,-18.51,-6.26
AEO,American Eagle Outfitters Inc.,Consumer Discretionary,United States,NYSE,1987.09,11.73,-52.47,-49.76,-65.07,-25.50,14.51,-17.68,-9.33,2.74,-1.92,15.67,18.43,20.32,22.60,24.71,53.37,59.73,1.00,7.67,33.30,7.85,7.48,6.78,6.23,4.85,5586.82,38.18,21.26,11.39,16.12,7.40,73.48,14.39,10.22,7.82,4.73,5.70,-300.52,48.12,17.02,14.58,26.64,10.71,,,,,,,3.27,-6.28,-5.14,-1.65,-0.40,-2.60
AES,The AES Corporation,Utilities,United States,NYSE,14358.98,21.50,-10.21,-5.55,-13.35,36.99,136.24,124.21,11.04,18.73,8.40,22.02,22.44,22.90,23.16,23.58,29.99,34.80,,2.87,15.33,4.57,1.24,1.62,-5.14,-3.61,0.67,8.72,2.23,3.09,-1.32,-3.66,0.67,7.43,1.74,2.61,-1.34,-3.91,-989.13,16.18,-30.21,-18.39,-8.62,21.57,,,,,,,-187.67,-33.25,-27.46,47.09,-17.59,-8.45
AESC,The AES Corporation,Utilities,United States,NYSE,14358.98,88.03,-4.59,-1.65,-9.79,,,,,,,89.29,90.74,92.82,94.53,96.36,23.06,26.57,,7.81,15.33,4.57,1.24,1.62,-5.14,-3.61,0.67,8.72,2.23,3.09,-1.32,-3.66,0.67,7.43,1.74,2.61,-1.34,-3.91,-989.13,16.18,-30.21,-18.39,-8.62,21.57,,,,,,,-187.67,-33.25,-27.46,47.09,-17.59,-8.45
AEVA,Aeva Technologies Inc.,Information Technology,United States,NYSE,793.13,3.66,-51.59,-45.13,-64.67,,,,,,,3.62,4.70,5.61,6.34,6.94,74.48,82.42,0.06,,91.31,158.73,309.42,,,,304.75,127.71,109.06,,,,63.27,145.59,253.03,,,,298.43,128.02,108.95,,,,,,,,,,1579.30,284.31,224.77,,,
AFB,AllianceBernstein National Municipal Income Fund Inc.,,,NYSE,332.87,11.58,-19.72,-19.35,-20.33,-1.72,6.32,21.70,-0.58,1.23,1.98,12.07,12.83,13.34,13.69,13.89,12.35,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,American Financial Group Inc.,Financials,United States,NYSE,11739.82,137.95,8.88,8.56,37.36,88.84,114.35,559.55,23.56,16.44,20.73,140.20,138.30,137.89,136.68,135.04,25.20,27.40,0.69,17.53,14.59,3.45,-2.69,0.15,1.78,3.40,75.76,32.98,25.41,8.21,10.15,8.35,58.59,25.52,14.95,5.12,7.71,6.14,172.54,49.13,55.56,25.18,23.63,19.29,,,,,,,-29.17,-12.01,-0.35,-0.10,0.10,1.10
AFGB,American Financial Group Inc.,Financials,United States,NYSE,11739.82,24.55,,,,,,,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGC,American Financial Group Inc.,Financials,United States,NYSE,11739.82,22.14,,,,,,,,,,,,,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGD,American Financial Group Inc.,Financials,United States,NYSE,11739.82,23.47,,,,,,,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGE,American Financial Group Inc.,Financials,United States,NYSE,11739.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac Incorporated,Financials,United States,NYSE,36234.26,56.25,-2.37,-8.29,10.20,7.06,62.60,237.21,2.30,10.19,12.91,59.98,60.14,58.88,58.13,57.63,22.62,24.30,5.86,2.60,-0.19,-0.45,0.53,-0.40,-0.32,-0.10,26.33,9.08,9.76,5.10,2.46,5.34,16.40,8.30,8.17,5.01,3.56,4.57,-9.48,14.41,13.99,10.22,5.61,8.36,,,,,,,-0.92,6.73,12.03,10.00,8.74,9.80
AFT,Apollo Senior Floating Rate Fund Inc.,,,NYSE,198.87,12.77,-18.02,-19.62,-12.76,5.18,9.43,45.06,1.69,1.81,3.78,14.12,14.85,15.15,15.27,15.29,13.45,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTR,AfterNext HealthTech Acquisition Corp.,Financials,United States,NYSE,302.50,9.68,-0.72,-0.41,,,,,,,,9.68,9.68,,,,6.76,7.92,-110.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAC,African Gold Acquisition Corporation,Financials,United States,NYSE,507.66,9.81,1.34,1.03,1.87,,,,,,,9.77,9.76,9.75,9.73,9.72,3.06,2.68,,,,,,,,,,,,,,,,,,,,,-1266.33,,,,,,,,,,,,97377.59,,,,,
AGCB,Altimeter Growth Corp. 2,Financials,United States,NYSE,564.90,9.85,-0.10,0.10,-3.34,,,,,,,9.81,9.82,9.87,9.89,9.96,6.02,2.78,,,,,,,,,,,,,,,,,,,,,5397.47,,,,,,,,,,,,-77021.35,,,,,
AGCO,AGCO Corporation,Industrials,United States,NYSE,7241.92,97.15,-12.80,-16.72,-19.14,37.50,57.76,151.27,11.18,9.53,9.64,125.35,123.09,123.46,125.08,126.87,40.05,46.77,2.20,5.50,21.73,10.99,6.00,8.49,1.96,2.42,60.89,39.41,26.91,27.64,5.63,5.25,25.02,13.86,8.81,11.16,3.18,3.77,110.02,167.67,46.46,41.15,11.82,4.40,,,,,,,41.78,28.01,25.95,16.86,0.21,4.29
AGD,Abrdn Global Dynamic Dividend Fund,,,NYSE,119.35,9.51,-18.39,-18.19,-13.37,23.25,35.77,95.97,7.20,6.30,6.95,10.34,10.84,11.12,11.34,11.44,18.47,23.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,agilon health inc.,Health Care,United States,NYSE,10859.71,26.70,-1.11,14.79,-25.65,,,,,,,20.88,21.13,22.02,24.56,26.48,64.38,79.20,-11.08,,50.50,51.92,,,,,585.60,90.94,,,,,-18.84,63.71,,,,,576.89,19.94,,,,,,,,,,,-357.27,69.89,,,,
AGM,Federal Agricultural Mortgage Corporation,Financials,United States,NYSE,1055.78,98.13,-19.40,-21.76,5.93,49.21,76.49,372.51,14.24,12.01,16.77,108.31,113.29,115.36,111.89,110.15,28.29,30.87,0.11,3.73,21.81,12.24,8.84,8.30,12.15,14.87,,,,,,,21.81,12.24,8.84,8.30,12.15,14.87,21.73,9.88,6.96,11.33,15.55,23.02,,,,,,,14.40,12.29,9.53,10.41,11.26,10.93
